timestamp;datetime;emission_gr_kWh
1712788200;2024-04-11 00:30:00+02:00;276.88
1712789100;2024-04-11 00:45:00+02:00;263.277
1712790000;2024-04-11 01:00:00+02:00;249.995
1712790900;2024-04-11 01:15:00+02:00;238.172
1712791800;2024-04-11 01:30:00+02:00;229.761
1712792700;2024-04-11 01:45:00+02:00;221.203
1712793600;2024-04-11 02:00:00+02:00;217.983
1712794500;2024-04-11 02:15:00+02:00;215.952
1712795400;2024-04-11 02:30:00+02:00;216.681
1712796300;2024-04-11 02:45:00+02:00;217.398
1712797200;2024-04-11 03:00:00+02:00;220.374
1712798100;2024-04-11 03:15:00+02:00;220.651
1712799000;2024-04-11 03:30:00+02:00;221.654
1712799900;2024-04-11 03:45:00+02:00;223.684
1712800800;2024-04-11 04:00:00+02:00;228.821
1712801700;2024-04-11 04:15:00+02:00;232.091
1712802600;2024-04-11 04:30:00+02:00;233.022
1712803500;2024-04-11 04:45:00+02:00;235.062
1712804400;2024-04-11 05:00:00+02:00;257.011
1712805300;2024-04-11 05:15:00+02:00;259.371
1712806200;2024-04-11 05:30:00+02:00;256.568
1712807100;2024-04-11 05:45:00+02:00;268.592
1712808000;2024-04-11 06:00:00+02:00;271.931
1712808900;2024-04-11 06:15:00+02:00;272.053
1712809800;2024-04-11 06:30:00+02:00;269.498
1712810700;2024-04-11 06:45:00+02:00;263.832
1712811600;2024-04-11 07:00:00+02:00;260.29
1712812500;2024-04-11 07:15:00+02:00;265.4
1712813400;2024-04-11 07:30:00+02:00;261.701
1712814300;2024-04-11 07:45:00+02:00;266.786
1712815200;2024-04-11 08:00:00+02:00;259.515
1712816100;2024-04-11 08:15:00+02:00;256.823
1712817000;2024-04-11 08:30:00+02:00;252.339
1712817900;2024-04-11 08:45:00+02:00;246.958
1712818800;2024-04-11 09:00:00+02:00;241.098
1712819700;2024-04-11 09:15:00+02:00;237.823
1712820600;2024-04-11 09:30:00+02:00;230.721
1712821500;2024-04-11 09:45:00+02:00;221.212
1712822400;2024-04-11 10:00:00+02:00;213.649
1712823300;2024-04-11 10:15:00+02:00;202.781
1712824200;2024-04-11 10:30:00+02:00;195.968
1712825100;2024-04-11 10:45:00+02:00;192.655
1712826000;2024-04-11 11:00:00+02:00;190.614
1712826900;2024-04-11 11:15:00+02:00;190.266
1712827800;2024-04-11 11:30:00+02:00;189.776
1712828700;2024-04-11 11:45:00+02:00;190.169
