timestamp_readable;timestamp;smard_price_E_MWh;day_Ahead;awattar_price_E_MWh;stadtWerkeKarlsruhe_E_MWh;tibber_price_E_MWh
2024-04-15 20:30:00;1713213000000;53.77;True;230.98310000000004;357.8;248.07000000000002
2024-04-15 20:45:00;1713213900000;53.77;True;230.98310000000004;357.8;248.07000000000002
2024-04-15 21:00:00;1713214800000;34.17;True;210.79510000000005;357.8;228.47000000000003
2024-04-15 21:15:00;1713215700000;34.17;True;210.79510000000005;357.8;228.47000000000003
2024-04-15 21:30:00;1713216600000;34.17;True;210.79510000000005;357.8;228.47000000000003
2024-04-15 21:45:00;1713217500000;34.17;True;210.79510000000005;357.8;228.47000000000003
2024-04-15 22:00:00;1713218400000;2.02;True;177.68060000000003;357.8;196.32000000000002
2024-04-15 22:15:00;1713219300000;2.02;True;177.68060000000003;357.8;196.32000000000002
2024-04-15 22:30:00;1713220200000;2.02;True;177.68060000000003;357.8;196.32000000000002
2024-04-15 22:45:00;1713221100000;2.02;True;177.68060000000003;357.8;196.32000000000002
2024-04-15 23:00:00;1713222000000;0.04;True;175.64120000000003;357.8;194.34
2024-04-15 23:15:00;1713222900000;0.04;True;175.64120000000003;357.8;194.34
2024-04-15 23:30:00;1713223800000;0.04;True;175.64120000000003;357.8;194.34
2024-04-15 23:45:00;1713224700000;0.04;True;175.64120000000003;357.8;194.34
2024-04-16 00:00:00;1713225600000;0.14;True;175.7442;357.8;194.44
2024-04-16 00:15:00;1713226500000;0.14;True;175.7442;357.8;194.44
2024-04-16 00:30:00;1713227400000;0.14;True;175.7442;357.8;194.44
2024-04-16 00:45:00;1713228300000;0.14;True;175.7442;357.8;194.44
2024-04-16 01:00:00;1713229200000;0.73;True;176.3519;357.8;195.03
2024-04-16 01:15:00;1713230100000;0.73;True;176.3519;357.8;195.03
2024-04-16 01:30:00;1713231000000;0.73;True;176.3519;357.8;195.03
2024-04-16 01:45:00;1713231900000;0.73;True;176.3519;357.8;195.03
2024-04-16 02:00:00;1713232800000;17.47;True;193.59410000000003;357.8;211.77
2024-04-16 02:15:00;1713233700000;17.47;True;193.59410000000003;357.8;211.77
2024-04-16 02:30:00;1713234600000;17.47;True;193.59410000000003;357.8;211.77
2024-04-16 02:45:00;1713235500000;17.47;True;193.59410000000003;357.8;211.77
2024-04-16 03:00:00;1713236400000;36.22;True;212.90660000000003;357.8;230.52
2024-04-16 03:15:00;1713237300000;36.22;True;212.90660000000003;357.8;230.52
2024-04-16 03:30:00;1713238200000;36.22;True;212.90660000000003;357.8;230.52
2024-04-16 03:45:00;1713239100000;36.22;True;212.90660000000003;357.8;230.52
2024-04-16 04:00:00;1713240000000;63.14;True;240.63420000000002;357.8;257.44
2024-04-16 04:15:00;1713240900000;63.14;True;240.63420000000002;357.8;257.44
2024-04-16 04:30:00;1713241800000;63.14;True;240.63420000000002;357.8;257.44
2024-04-16 04:45:00;1713242700000;63.14;True;240.63420000000002;357.8;257.44
2024-04-16 05:00:00;1713243600000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 05:15:00;1713244500000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 05:30:00;1713245400000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 05:45:00;1713246300000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 06:00:00;1713247200000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 06:15:00;1713248100000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 06:30:00;1713249000000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 06:45:00;1713249900000;74.26;True;252.08780000000002;357.8;268.56
2024-04-16 07:00:00;1713250800000;64.81;True;242.35430000000002;357.8;259.11
2024-04-16 07:15:00;1713251700000;64.81;True;242.35430000000002;357.8;259.11
2024-04-16 07:30:00;1713252600000;64.81;True;242.35430000000002;357.8;259.11
2024-04-16 07:45:00;1713253500000;64.81;True;242.35430000000002;357.8;259.11
2024-04-16 08:00:00;1713254400000;51.03;True;228.16090000000003;357.8;245.33
2024-04-16 08:15:00;1713255300000;51.03;True;228.16090000000003;357.8;245.33
2024-04-16 08:30:00;1713256200000;51.03;True;228.16090000000003;357.8;245.33
2024-04-16 08:45:00;1713257100000;51.03;True;228.16090000000003;357.8;245.33
2024-04-16 09:00:00;1713258000000;42.64;True;219.5192;357.8;236.94
2024-04-16 09:15:00;1713258900000;42.64;True;219.5192;357.8;236.94
2024-04-16 09:30:00;1713259800000;42.64;True;219.5192;357.8;236.94
2024-04-16 09:45:00;1713260700000;42.64;True;219.5192;357.8;236.94
2024-04-16 10:00:00;1713261600000;40.0;True;216.8;357.8;234.3
2024-04-16 10:15:00;1713262500000;40.0;True;216.8;357.8;234.3
2024-04-16 10:30:00;1713263400000;40.0;True;216.8;357.8;234.3
2024-04-16 10:45:00;1713264300000;40.0;True;216.8;357.8;234.3
2024-04-16 11:00:00;1713265200000;40.22;True;217.02660000000003;357.8;234.52
2024-04-16 11:15:00;1713266100000;40.22;True;217.02660000000003;357.8;234.52
2024-04-16 11:30:00;1713267000000;40.22;True;217.02660000000003;357.8;234.52
2024-04-16 11:45:00;1713267900000;40.22;True;217.02660000000003;357.8;234.52
2024-04-16 12:00:00;1713268800000;42.08;True;218.94240000000002;357.8;236.38
2024-04-16 12:15:00;1713269700000;42.08;True;218.94240000000002;357.8;236.38
2024-04-16 12:30:00;1713270600000;42.08;True;218.94240000000002;357.8;236.38
2024-04-16 12:45:00;1713271500000;42.08;True;218.94240000000002;357.8;236.38
2024-04-16 13:00:00;1713272400000;48.53;True;225.58590000000004;357.8;242.83
2024-04-16 13:15:00;1713273300000;48.53;True;225.58590000000004;357.8;242.83
2024-04-16 13:30:00;1713274200000;48.53;True;225.58590000000004;357.8;242.83
2024-04-16 13:45:00;1713275100000;48.53;True;225.58590000000004;357.8;242.83
2024-04-16 14:00:00;1713276000000;62.84;True;240.32520000000002;357.8;257.14
2024-04-16 14:15:00;1713276900000;62.84;True;240.32520000000002;357.8;257.14
2024-04-16 14:30:00;1713277800000;62.84;True;240.32520000000002;357.8;257.14
2024-04-16 14:45:00;1713278700000;62.84;True;240.32520000000002;357.8;257.14
2024-04-16 15:00:00;1713279600000;79.67;True;257.66010000000006;357.8;273.97
2024-04-16 15:15:00;1713280500000;79.67;True;257.66010000000006;357.8;273.97
2024-04-16 15:30:00;1713281400000;79.67;True;257.66010000000006;357.8;273.97
2024-04-16 15:45:00;1713282300000;79.67;True;257.66010000000006;357.8;273.97
2024-04-16 16:00:00;1713283200000;92.92;True;271.30760000000004;357.8;287.22
2024-04-16 16:15:00;1713284100000;92.92;True;271.30760000000004;357.8;287.22
2024-04-16 16:30:00;1713285000000;92.92;True;271.30760000000004;357.8;287.22
2024-04-16 16:45:00;1713285900000;92.92;True;271.30760000000004;357.8;287.22
2024-04-16 17:00:00;1713286800000;113.99;True;293.0097;357.8;308.29
2024-04-16 17:15:00;1713287700000;113.99;True;293.0097;357.8;308.29
2024-04-16 17:30:00;1713288600000;113.99;True;293.0097;357.8;308.29
2024-04-16 17:45:00;1713289500000;113.99;True;293.0097;357.8;308.29
2024-04-16 18:00:00;1713290400000;124.52;True;303.8556;357.8;318.82
2024-04-16 18:15:00;1713291300000;124.52;True;303.8556;357.8;318.82
2024-04-16 18:30:00;1713292200000;124.52;True;303.8556;357.8;318.82
2024-04-16 18:45:00;1713293100000;124.52;True;303.8556;357.8;318.82
2024-04-16 19:00:00;1713294000000;104.46;True;283.1938;357.8;298.76
2024-04-16 19:15:00;1713294900000;104.46;True;283.1938;357.8;298.76
2024-04-16 19:30:00;1713295800000;104.46;True;283.1938;357.8;298.76
2024-04-16 19:45:00;1713296700000;104.46;True;283.1938;357.8;298.76
2024-04-16 20:00:00;1713297600000;90.1;True;268.403;357.8;284.4
2024-04-16 20:15:00;1713298500000;90.1;True;268.403;357.8;284.4
2024-04-16 20:30:00;1713299400000;90.1;True;268.403;357.8;284.4
2024-04-16 20:45:00;1713300300000;90.1;True;268.403;357.8;284.4
2024-04-16 21:00:00;1713301200000;84.1;True;262.22300000000007;357.8;278.4
2024-04-16 21:15:00;1713302100000;84.1;True;262.22300000000007;357.8;278.4
2024-04-16 21:30:00;1713303000000;84.1;True;262.22300000000007;357.8;278.4
2024-04-16 21:45:00;1713303900000;84.1;True;262.22300000000007;357.8;278.4
2024-04-16 22:00:00;1713304800000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 22:15:00;1713305700000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 22:30:00;1713306600000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 22:45:00;1713307500000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 23:00:00;1713308400000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 23:15:00;1713309300000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 23:30:00;1713310200000;83.84;True;261.95520000000005;357.8;278.14
2024-04-16 23:45:00;1713311100000;83.84;True;261.95520000000005;357.8;278.14
2024-04-17 00:00:00;1713312000000;81.35;True;259.39050000000003;357.8;275.65
2024-04-17 00:15:00;1713312900000;81.35;True;259.39050000000003;357.8;275.65
2024-04-17 00:30:00;1713313800000;81.35;True;259.39050000000003;357.8;275.65
2024-04-17 00:45:00;1713314700000;81.35;True;259.39050000000003;357.8;275.65
2024-04-17 01:00:00;1713315600000;82.4;True;260.472;357.8;276.70000000000005
2024-04-17 01:15:00;1713316500000;82.4;True;260.472;357.8;276.70000000000005
2024-04-17 01:30:00;1713317400000;82.4;True;260.472;357.8;276.70000000000005
2024-04-17 01:45:00;1713318300000;82.4;True;260.472;357.8;276.70000000000005
2024-04-17 02:00:00;1713319200000;82.96;True;261.0488;357.8;277.26
2024-04-17 02:15:00;1713320100000;82.96;True;261.0488;357.8;277.26
2024-04-17 02:30:00;1713321000000;82.96;True;261.0488;357.8;277.26
2024-04-17 02:45:00;1713321900000;82.96;True;261.0488;357.8;277.26
2024-04-17 03:00:00;1713322800000;83.73;True;261.84190000000007;357.8;278.03000000000003
2024-04-17 03:15:00;1713323700000;83.73;True;261.84190000000007;357.8;278.03000000000003
2024-04-17 03:30:00;1713324600000;83.73;True;261.84190000000007;357.8;278.03000000000003
2024-04-17 03:45:00;1713325500000;83.73;True;261.84190000000007;357.8;278.03000000000003
2024-04-17 04:00:00;1713326400000;109.39;True;288.2717;357.8;303.69
2024-04-17 04:15:00;1713327300000;109.39;True;288.2717;357.8;303.69
2024-04-17 04:30:00;1713328200000;109.39;True;288.2717;357.8;303.69
2024-04-17 04:45:00;1713329100000;109.39;True;288.2717;357.8;303.69
2024-04-17 05:00:00;1713330000000;169.97;True;350.66910000000007;357.8;364.27
2024-04-17 05:15:00;1713330900000;169.97;True;350.66910000000007;357.8;364.27
2024-04-17 05:30:00;1713331800000;169.97;True;350.66910000000007;357.8;364.27
